"";"Year";"Square";"Number";"SpitNum";"SpitID";"Assemblage";"X";"Y";"Z";"Code";"Orientation";"Dip"
"1035";2013;"J52";"359";"12";"J52D_12";"SUP";99,84;101,472;-0,785;"SILEX";NA;NA
"1036";2013;"J52";"360";"12";"J52B_12";"SUP";99,88;101,618;-0,779;"FAUNA";NA;NA
"1037";2013;"J52";"361";"12";"J52B_12";"SUP";99,968;101,778;-0,767;"FAUNA";NA;NA
"1038";2013;"J52";"362";"12";"J52B_12";"SUP";99,914;101,903;-0,777;"FAUNA";NA;NA
"1039";2013;"J52";"363";"12";"J52B_12";"SUP";99,773;101,621;-0,783;"FAUNA";NA;NA
"1040";2013;"J52";"364";"12";"J52B_12";"SUP";99,746;101,708;-0,773;"FAUNA";NA;NA
"1041";2013;"J52";"365";"12";"J52B_12";"SUP";99,779;101,83;-0,777;"FAUNA";NA;NA
"1042";2013;"J52";"366";"12";"J52B_12";"SUP";99,818;101,894;-0,8;"FAUNA";NA;NA
"1043";2013;"J52";"367";"12";"J52B_12";"SUP";99,703;101,675;-0,769;"COPRO";NA;NA
"1044";2013;"J52";"368";"12";"J52B_12";"SUP";99,639;101,75;-0,776;"FAUNA";NA;NA
"1045";2013;"J52";"369";"12";"J52B_12";"SUP";99,534;101,534;-0,769;"FAUNA";NA;NA
"1046";2013;"J52";"370";"12";"J52B_12";"SUP";99,534;101,627;-0,764;"FAUNA";NA;NA
"1047";2013;"J52";"371";"12";"J52B_12";"SUP";99,549;101,984;-0,769;"FAUNA";NA;NA
"1048";2013;"J52";"372";"12";"J52B_12";"SUP";99,592;101,937;-0,767;"FAUNA";NA;NA
"1049";2013;"J52";"374";"12";"J52B_12";"SUP";99,918;101,72;-0,78;"FAUNA";NA;NA
"1050";2013;"J52";"375";"12";"J52C_12";"SUP";99,481;101,386;-0,782;"FAUNA";NA;NA
"1051";2013;"J52";"376";"12";"J52B_12";"SUP";99,676;101,554;-0,792;"FAUNA";NA;NA
"1052";2013;"J52";"377";"12";"J52B_12";"SUP";99,935;101,506;-0,79;"FAUNA";NA;NA
"1053";2013;"J52";"378";"13";"J52D_13";"SUP";99,768;101,311;-0,811;"FAUNA";NA;NA
"1054";2013;"J52";"379";"12";"J52A_12";"SUP";99,281;101,711;-0,743;"FAUNA";NA;NA
"1055";2013;"J52";"380";"12";"J52A_12";"SUP";99,274;101,584;-0,76;"FAUNA";NA;NA
"1056";2013;"J52";"381";"12";"J52A_12";"SUP";99,297;101,538;-0,741;"FAUNA";NA;NA
"1057";2013;"J52";"382";"12";"J52C_12";"SUP";99,337;101,496;-0,738;"FAUNA";NA;NA
"1058";2013;"J52";"383";"12";"J52A_12";"SUP";99,333;101,714;-0,756;"FAUNA";NA;NA
"1059";2013;"J52";"384";"12";"J52A_12";"SUP";99,459;101,844;-0,765;"FAUNA";NA;NA
"1060";2013;"J52";"385";"12";"J52A_12";"SUP";99,449;101,538;-0,754;"FAUNA";NA;NA
"1061";2013;"J52";"386";"12";"J52C_12";"SUP";99,479;101,442;-0,753;"FAUNA";NA;NA
"1062";2013;"J52";"387";"12";"J52A_12";"SUP";99,494;101,82;-0,769;"FAUNA";93;15
"1063";2013;"J52";"388";"12";"J52C_12";"SUP";99,33;101,41;-0,78;"FAUNA";NA;NA
"1064";2013;"J52";"389";"12";"J52C_12";"SUP";99,305;101,446;-0,784;"FAUNA";NA;NA
"1065";2013;"J52";"390";"12";"J52A_12";"SUP";99,334;101,557;-0,769;"FAUNA";NA;NA
"1066";2013;"J52";"391";"12";"J52A_12";"SUP";99,293;101,668;-0,761;"FAUNA";NA;NA
"1067";2013;"J52";"392";"12";"J52A_12";"SUP";99,431;101,695;-0,771;"FAUNA";NA;NA
"1068";2013;"J52";"393";"12";"J52B_12";"SUP";99,514;101,932;-0,768;"FAUNA";NA;NA
"1069";2013;"J52";"394";"12";"J52A_12";"SUP";99,4665;101,5005;-0,7785;"FAUNA";82;16
"1070";2013;"J52";"395";"13";"J52D_13";"SUP";99,781;101,376;-0,815;"FAUNA";NA;NA
"1071";2013;"J52";"396";"13";"J52D_13";"SUP";99,719;101,413;-0,809;"FAUNA";NA;NA
"1072";2013;"J52";"397";"12";"J52A_12";"SUP";99,363;101,883;-0,759;"FAUNA";NA;NA
"1073";2013;"J52";"398";"12";"J52A_12";"SUP";99,447;101,733;-0,766;"FAUNA";NA;NA
